,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
2334,Marcus Myers-Harness,MID,Ipswich,0.0,0,0,0,0,0.0,271,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,5,0,0,0,0,4,0,1591,0,0,0,0.0,0,-769,0,769,49,False,0,4
2335,Jack Taylor,MID,Ipswich,0.0,0,0,0,0,0.0,281,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,5,0,0,0,0,4,0,3218,0,0,0,0.0,0,-122,399,521,49,False,0,4
2336,Simon Adingra,MID,Brighton,3.5,0,0,2,0,1.6,113,0.01,0.04,0.03,0.14,33,0,0,0.8,2.2,2024-09-14T14:00:00Z,22,10,0,0,0,0,4,0,104017,0,0,0,4.0,1,4769,27664,22895,55,True,0,4
2337,Ben Mee,DEF,Brentford,-0.8,0,0,0,0,0.0,100,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,13,0,0,0,0,4,0,64623,0,1,2,0.0,0,-10459,2535,12994,44,False,0,4
2338,Leon Chiwome,FWD,Wolves,-0.5,0,0,0,0,0.0,539,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,89974,0,2,1,0.0,0,71512,88363,16851,45,True,0,4
2339,Eric da Silva Moreira,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,428,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,12,0,0,0,0,4,0,7174,0,1,0,0.0,0,165,1308,1143,45,False,0,4
2340,Luis Guilherme Lira dos Santos,MID,West Ham,0.0,0,0,0,0,0.0,526,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,9,0,0,0,0,4,0,2891,0,1,1,0.0,0,-323,194,517,49,False,0,4
2341,Joe Hodge,MID,Wolves,0.0,0,0,0,0,0.0,551,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,40429,0,2,1,0.0,0,-11393,0,11393,45,True,0,4
2342,Chiedozie Ogbene,MID,Ipswich,1.0,0,0,5,0,0.8,632,0.01,0.01,0.0,0.44,33,0,0,0.8,3.0,2024-09-14T14:00:00Z,31,5,0,0,0,0,4,0,1238,0,0,0,4.0,1,547,864,317,50,False,0,4
2343,Harrison Armstrong,MID,Everton,0.2,0,0,0,0,0.0,603,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2024-09-14T16:30:00Z,0,2,0,0,0,0,4,0,24278,0,2,3,0.0,0,3556,7440,3884,45,False,0,4
2344,Carney Chukwuemeka,MID,Chelsea,0.0,0,0,0,0,0.0,161,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2024-09-14T19:00:00Z,0,3,0,0,0,0,4,0,6339,0,1,0,0.0,0,187,1261,1074,49,False,0,4
2345,Tom King,GK,Wolves,-0.5,0,0,0,0,0.0,556,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,155082,0,2,1,0.0,0,5189,13434,8245,40,True,0,4
2346,Wout Faes,DEF,Leicester,2.0,0,0,1,0,0.2,291,0.0,0.0,0.0,2.55,34,2,0,3.8,38.2,2024-09-14T14:00:00Z,90,7,0,0,0,0,4,0,1296219,1,2,2,0.0,1,170763,280874,110111,41,False,0,4
2347,Leny Yoro,DEF,Man Utd,0.0,0,0,0,0,0.0,572,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2024-09-14T11:30:00Z,0,17,0,0,0,0,4,0,10615,0,3,0,0.0,0,-1314,408,1722,44,False,0,4
2348,Pedro Lomba Neto,MID,Chelsea,1.5,0,0,5,0,16.3,560,0.03,0.03,0.0,1.29,32,0,0,2.1,4.4,2024-09-14T19:00:00Z,45,3,0,0,0,0,4,0,93108,1,1,0,0.0,1,-17382,10810,28192,64,False,0,4
2349,Ian Maatsen,DEF,Aston Villa,1.0,0,0,9,0,36.0,45,0.4,0.4,0.0,0.23,31,0,0,4.3,3.4,2024-09-14T16:30:00Z,21,8,0,0,0,0,4,0,258765,0,2,3,4.0,1,-41926,10650,52576,49,True,0,4
2350,Harry Winks,MID,Leicester,1.3,0,0,13,0,3.0,309,0.0,0.0,0.0,2.55,34,2,0,1.3,9.6,2024-09-14T14:00:00Z,90,7,0,0,0,0,4,0,1522787,1,2,2,0.0,2,91859,298746,206887,45,False,0,4
2351,Mads Roerslev Rasmussen,DEF,Brentford,0.2,0,0,3,0,0.6,105,0.0,0.0,0.0,1.09,37,0,0,0.5,2.6,2024-09-14T14:00:00Z,18,13,0,0,0,0,4,0,10204,0,1,2,2.0,1,-2757,259,3016,45,False,0,4
2352,Jurriën Timber,DEF,Arsenal,4.2,0,0,20,1,1.1,6,0.01,0.06,0.05,0.74,39,0,0,2.2,13.4,2024-09-15T13:00:00Z,90,18,0,0,0,0,4,0,106693,1,1,0,7.0,5,-76,18538,18614,55,False,1,4
2353,Saša Kalajdžić,FWD,Wolves,0.0,0,0,0,0,0.0,555,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,5680,0,2,1,0.0,0,-771,669,1440,49,True,0,4
2354,Anthony Elanga,MID,Nott'm Forest,1.7,1,0,8,0,10.6,432,0.0,0.23,0.23,0.2,36,0,0,5.0,18.2,2024-09-14T14:00:00Z,29,12,0,0,0,0,4,0,121525,0,1,0,21.0,3,-29888,5986,35874,54,False,1,4
2355,Julio Enciso,MID,Brighton,1.3,0,0,6,0,13.0,121,0.01,0.06,0.05,0.14,33,0,0,2.7,7.2,2024-09-14T14:00:00Z,23,10,0,0,0,0,4,0,8797,0,0,0,7.0,1,1066,2492,1426,54,True,0,4
2356,Naouirou Ahamada,MID,Crystal Palace,0.0,0,0,0,0,0.0,190,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,11,0,0,0,0,4,0,23881,0,2,2,0.0,0,-9569,0,9569,45,True,0,4
2357,Jeremy Sarmiento Morante,MID,Brighton,0.0,0,0,0,0,0.0,141,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,10,0,0,0,0,4,0,1864,0,0,0,0.0,0,-985,0,985,49,True,0,4
2358,Ayden Heaven,DEF,Arsenal,2.0,0,0,0,0,0.0,658,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,0,18,0,0,0,0,4,0,0,0,1,0,0.0,0,0,0,0,40,False,0,4
2359,Vladimír Coufal,DEF,West Ham,2.2,0,0,4,0,0.8,516,0.0,0.0,0.0,0.68,35,0,0,0.2,1.2,2024-09-14T14:00:00Z,33,9,0,0,0,0,4,0,83412,0,1,1,0.0,1,-2902,5107,8009,45,False,0,4
2360,Marc Cucurella Saseta,DEF,Chelsea,2.2,0,0,21,1,3.7,163,0.03,0.03,0.0,1.78,32,0,0,1.2,2.2,2024-09-14T19:00:00Z,90,3,0,0,0,0,4,0,609782,1,1,0,6.0,5,-25980,52166,78146,50,False,1,4
2361,Toti António Gomes,DEF,Wolves,0.3,0,0,0,0,0.0,567,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,20832,0,2,1,0.0,0,-1339,754,2093,45,True,0,4
2362,Cristian Romero,DEF,Spurs,3.8,0,0,19,0,13.3,498,0.03,0.07,0.04,0.73,39,1,0,5.8,25.2,2024-09-15T13:00:00Z,90,1,0,0,0,0,4,0,1016643,1,1,0,19.0,2,71982,193167,121185,51,True,0,4
2363,Dan Burn,DEF,Newcastle,2.3,0,0,11,0,0.7,395,0.02,0.07,0.05,0.99,40,1,0,2.3,14.6,2024-09-15T15:30:00Z,90,20,0,0,0,0,4,0,1417167,1,2,1,8.0,1,-144666,60618,205284,45,False,1,4
2364,Destiny Udogie,DEF,Spurs,1.5,0,0,10,0,5.9,505,0.03,0.03,0.0,0.73,39,1,0,2.3,13.2,2024-09-15T13:00:00Z,90,1,0,0,0,0,4,0,341748,1,1,0,4.0,1,-31995,23425,55420,50,True,1,4
2365,Jordan Pickford,GK,Everton,1.5,0,0,7,0,0.0,235,0.01,0.01,0.0,2.12,31,3,0,3.2,32.4,2024-09-14T16:30:00Z,90,2,0,0,0,0,4,4,1005768,1,2,3,0.0,2,-194859,13052,207911,49,False,0,4
2366,Boubacar Traoré,MID,Wolves,0.0,0,0,0,0,0.0,534,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,3968,0,2,1,0.0,0,-1657,51,1708,49,True,0,4
2367,Stefan Bajčetić Maquieira,MID,Liverpool,0.0,0,0,0,0,0.0,312,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,16,0,0,0,0,4,0,9594,0,1,0,0.0,0,-5342,0,5342,45,True,0,4
2368,Mikkel Damsgaard,MID,Brentford,0.8,0,0,9,0,20.1,89,0.24,0.24,0.0,2.17,37,2,0,3.9,15.0,2024-09-14T14:00:00Z,83,13,0,0,0,0,4,0,6863,1,1,2,4.0,2,-192,801,993,50,False,0,4
