column_name,percentage,interpolated_value_above,interpolated_value_below
rival_team_player_Chelsea,55,0.0,0.0
rival_team_player_Chelsea,50,0.0,0.0
rival_team_player_Chelsea,45,0.0,0.0
rival_team_player_Chelsea,40,0.0,0.0
rival_team_player_Chelsea,35,0.0,0.0
rival_team_player_Chelsea,30,0.0,0.0
rival_team_player_Chelsea,25,0.0,0.0
rival_team_player_Chelsea,20,0.0,0.0
rival_team_player_Chelsea,15,0.0,0.0
rival_team_player_Chelsea,10,0.0,0.0
rival_team_player_Chelsea,5,0.0,0.0
rival_team_player_Man City,100,0.0,0.0
rival_team_player_Man City,95,0.0,0.0
rival_team_player_Man City,90,0.0,0.0
rival_team_player_Man City,85,0.0,0.0
rival_team_player_Man City,80,0.0,0.0
rival_team_player_Man City,75,0.0,0.0
rival_team_player_Man City,70,0.0,0.0
rival_team_player_Man City,65,0.0,0.0
rival_team_player_Man City,60,0.0,0.0
rival_team_player_Man City,55,0.0,0.0
rival_team_player_Man City,50,0.0,0.0
rival_team_player_Man City,45,0.0,0.0
rival_team_player_Man City,40,0.0,0.0
rival_team_player_Man City,35,0.0,0.0
rival_team_player_Man City,30,0.0,0.0
rival_team_player_Man City,25,0.0,0.0
rival_team_player_Man City,20,0.0,0.0
rival_team_player_Man City,15,0.0,0.0
rival_team_player_Man City,10,0.0,0.0
rival_team_player_Man City,5,0.0,0.0
rival_team_player_Arsenal,100,0.0,0.0
rival_team_player_Arsenal,95,0.0,0.0
rival_team_player_Arsenal,90,0.0,0.0
rival_team_player_Arsenal,85,0.0,0.0
rival_team_player_Arsenal,80,0.0,0.0
rival_team_player_Arsenal,75,0.0,0.0
rival_team_player_Arsenal,70,0.0,0.0
rival_team_player_Arsenal,65,0.0,0.0
rival_team_player_Arsenal,60,0.0,0.0
rival_team_player_Arsenal,55,0.0,0.0
rival_team_player_Arsenal,50,0.0,0.0
rival_team_player_Arsenal,45,0.0,0.0
rival_team_player_Arsenal,40,0.0,0.0
rival_team_player_Arsenal,35,0.0,0.0
rival_team_player_Arsenal,30,0.0,0.0
rival_team_player_Arsenal,25,0.0,0.0
rival_team_player_Arsenal,20,0.0,0.0
rival_team_player_Arsenal,15,0.0,0.0
rival_team_player_Arsenal,10,0.0,0.0
rival_team_player_Arsenal,5,0.0,0.0
rival_team_player_Spurs,100,0.0,0.0
rival_team_player_Spurs,95,0.0,0.0
rival_team_player_Spurs,90,0.0,0.0
rival_team_player_Spurs,85,0.0,0.0
rival_team_player_Spurs,80,0.0,0.0
rival_team_player_Spurs,75,0.0,0.0
rival_team_player_Spurs,70,0.0,0.0
rival_team_player_Spurs,65,0.0,0.0
rival_team_player_Spurs,60,0.0,0.0
rival_team_player_Spurs,55,0.0,0.0
rival_team_player_Spurs,50,0.0,0.0
rival_team_player_Spurs,45,0.0,0.0
rival_team_player_Spurs,40,0.0,0.0
rival_team_player_Spurs,35,0.0,0.0
